                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.60084,                0.33268,                0.98549,                 0.9117,                0.89388,                  0.995,                0.87652,                0.64733,                0.41077,                0.95851,              0.0011169,              0.0011169,              0.0011169
                    103,                0.60698,                 0.3289,                0.98594,                0.95312,                0.94794,                  0.995,                0.84713,                0.73468,                0.39708,                0.98643,              0.0011114,              0.0011114,              0.0011114
                    104,                0.60943,                0.35037,                0.98434,                0.97263,                0.99694,                  0.995,                0.87403,                 0.6859,                0.31244,                0.97528,              0.0011059,              0.0011059,              0.0011059
                    105,                0.59624,                0.31621,                0.97305,                0.98644,                      1,                  0.995,                0.87048,                 0.6906,                0.30183,                0.95412,              0.0011004,              0.0011004,              0.0011004
                    106,                0.60403,                0.36397,                0.97859,                0.99332,                      1,                  0.995,                0.87643,                0.62863,                0.29282,                0.92549,              0.0010949,              0.0010949,              0.0010949
                    107,                0.61135,                0.34676,                0.97128,                0.58824,                0.96429,                0.83365,                 0.7329,                0.56336,                 2.1765,                0.93687,              0.0010894,              0.0010894,              0.0010894
                    108,                0.60046,                0.34824,                0.97463,                 0.6114,                0.88897,                0.99097,                0.86829,                 0.5441,                 1.4738,                0.94339,              0.0010839,              0.0010839,              0.0010839
                    109,                0.62207,                0.35563,                0.99668,                 0.6318,                0.99655,                0.95417,                0.81845,                0.60223,                0.62569,                0.95565,              0.0010784,              0.0010784,              0.0010784
                    110,                0.58374,                0.33029,                0.96147,                 0.6367,                      1,                  0.975,                0.85359,                0.55736,                0.54378,                0.94316,              0.0010729,              0.0010729,              0.0010729
                    111,                0.62083,                0.34054,                 1.0049,                0.87185,                0.95062,                  0.995,                0.87456,                0.54506,                 0.3591,                0.93953,              0.0010674,              0.0010674,              0.0010674
                    112,                 0.5722,                0.31618,                0.96852,                0.98794,                      1,                  0.995,                 0.8788,                 0.6404,                0.34538,                0.96991,              0.0010619,              0.0010619,              0.0010619
                    113,                0.58477,                0.33054,                0.95896,                0.94795,                0.90258,                  0.995,                0.87507,                0.60626,                0.32922,                0.94603,              0.0010564,              0.0010564,              0.0010564
                    114,                0.56447,                0.30851,                0.95825,                0.74752,                0.89393,                0.98973,                 0.8709,                0.58818,                0.51645,                0.95182,              0.0010509,              0.0010509,              0.0010509
                    115,                0.58579,                0.31087,                0.99026,                 0.6218,                0.89241,                0.82698,                0.72135,                0.60088,                 1.1362,                0.96795,              0.0010454,              0.0010454,              0.0010454
                    116,                0.60983,                0.32482,                0.96691,                0.60714,                      1,                  0.995,                0.87283,                0.58062,                0.78876,                0.95343,              0.0010399,              0.0010399,              0.0010399
                    117,                0.57885,                0.31292,                0.97467,                0.95089,                0.73152,                  0.995,                0.89031,                0.57969,                0.56416,                0.94475,              0.0010344,              0.0010344,              0.0010344
                    118,                0.55625,                0.29917,                0.95673,                0.95988,                0.94797,                  0.995,                0.90124,                0.56381,                0.34397,                 0.9252,              0.0010289,              0.0010289,              0.0010289
                    119,                0.56068,                0.31451,                0.95539,                0.66746,                      1,                  0.995,                0.88313,                0.56125,                0.49114,                0.91836,              0.0010234,              0.0010234,              0.0010234
                    120,                0.58326,                0.32563,                0.96505,                0.77062,                0.96582,                  0.995,                0.90185,                0.57438,                0.41526,                0.92282,              0.0010179,              0.0010179,              0.0010179
                    121,                0.59983,                0.31725,                0.95803,                0.97925,                      1,                  0.995,                0.89331,                0.56075,                0.27861,                0.91919,              0.0010124,              0.0010124,              0.0010124
                    122,                0.57699,                0.31523,                0.96653,                0.99143,                      1,                  0.995,                0.88951,                0.52351,                0.23993,                0.90453,              0.0010069,              0.0010069,              0.0010069
                    123,                0.62552,                0.34143,                0.99359,                0.95891,                0.94702,                  0.995,                0.85414,                0.51003,                0.34193,                0.89774,              0.0010014,              0.0010014,              0.0010014
                    124,                0.56086,                0.31547,                0.94125,                0.87995,                 0.9453,                  0.995,                0.86216,                0.54623,                 0.3135,                0.91137,             0.00099587,             0.00099587,             0.00099587
